text,toxic
"fabiano . integridade , carater , honra , etica dignidade nao . nada capaz mudar . capitao bolsonaro ficou meio corja ladra quase 30 ano bsb ... nao corrompeu .",1
sofro feia assim amoo namorado,0
rt t chorando,0
rt amigo fei pqp,0
rt 38 1235 to feia vc to bonita ia dizer so parecidas,1
jornalismo bizarro globo . matria ridcula gato agora jornal hoje .,1
"auge depresso comeu tinta amarela , trouxe nenhuma felicidade . alm cara realmente louco , cortou prpria orelha . van gogh realmente doente , louco . tapa cara krl vai estudar ante falar merda .",1
"abarrotado b banheiros tavam filum horrivel ca gente fez contagem cerveja publico x acabou tambem buscar . deixar x entrar , y vai querer tambem , z etc galera tava puta , gente tava gritando gente",1
rt put sempre bom olhar traduo tag ante soltar gafe dessas,0
bom dia flor dia,0
"n sei sao traidores , q traram jude traram , entao parte certa",0
ti parece ?,0
cu,1
est comprovadissimo carioca gema sente frio t fazendo 20 3 casacos,0
rt mano sla parece vida todo mundo mudou mto rpido tbm fiquei parada tempo ? ? ?,0
"provavelmente prprio pai sai disseminando dio ai ensinando filho passos , tristeza",1
rt queria hitar assim desenhos tb pora sigam insta artista porfavor caraio,1
"caralho mano , tanta hora pra vir cliente vem hora q chego , hora q t fazendo algo importante tmnc",1
rt torpedo russo red burro pra ontem,1
"ento quer dizer bolsonaro bem vindo bahia , bem vindo governador , populao sabe .",0
"sai retardada ! ofensa povo brasileiro votou bolsonaro , eleito maioria , vitria esmagadora cima vocs ! ridcula ! aceite di menos , j t feio . demncia !",1
rt vejo bunda dando bobeira,1
nova,0
"t puta , chama nome completo ? mpn nowunited uniters",0
"fico sorrindo boba pra video , aguento",1
"velho puta q pariu acho q aparecer feed , ressurge cinzas nao aguento ver podrido pessoa tl lixo vcs fica ai lambendo cu porra deus",1
kkkkkk to puta,1
rt vc v vaca ir pro brejo torcida grita acredito . voleinaglobo,0
enjoo pqp,1
"tcnico frouxo , fraco , fudido . time merda vitria , dava pra ter voltado 6 pontos . culpa pc inventou loss treinador futebol",1
"sapato foda , pode beber vai atrs ex hein",1
"novo filme preferido , puta q paril nunca chorei tanto filme",1
jinyoung lendo carta seunghun pq seunghun ta chorando demais pra ler baejin comea chorar tambm vai foder,1
"medalhista n kkkk experincia porm gostei dessa mudana , roberto saturava roberto sempre macris entrava dava ritmo jogo agr macris titular s sucess",0
briga feia so doi doutores edio ! ! ! saber ! ! !,0
vai fuder amigo,1
acha bonito feio,0
"rt cacete mano , q vou ter alguem",0
"acordei 1hr ainda sono , pqp",1
"q entrar app banco pra ver carto novo chegou , disse coragem , l vou ver quanto to devendo banco . quero evitar",0
irmo pra mim irm oque boi apaixonado disse pra vaca ? ? .. ai sei oq ? ? . amuuuuuuuu ... kkkkkkkkkkkkkkk grt demais,0
"ricardo reconheci , t to diferente q casamento pai realidade todos dia , s susto ne ? gente , nao pode perde oportunidade humilhar pqp",0
caralho vai rolar hoje vsf,1
maior periodo tempo q vc ja ficou acordada ? talvez 23 horas ? ? ?,0
agora parei p pensar pode ultimo fds carro,0
"insuficiente caralho , incrvel , lindo gostoso",1
fico estressada vendo quanto governo bolsonaro burro,1
"moderno , ousado viado ! ! !",1
pensa alguem bota pinto ai loco,1
aeeeeee caralho,1
"s vezes queremos deus mude coisas resolva problemas , queremos conversar sobre , achamos deus fazer simplesmente porque pai sabe necessidade . deus quer relacionamos , acheguemos , sente saudade .",0
sai cristo fdp,1
rt passei manh ainda la kkkkkkk pqp,0
t friozinho puta gostoso,1
ae porra,1
chefa q mande figurinhas lula fazendo corao mo,0
10 reais frete ? vou pegar andando porra kkkkkk,0
"coitado desse gringo criminoso , vai ficar esperando criminoso maldito , deltan vai afastado , vc covil criminosos est stf vai pagar crime cometidos , ningum est acima lei criminoso inferno .",1
"assim governador rui costa ptba , paloma rocha , filhas glauber rocha , cancelou participao inaugurao aeroporto obra lev nome cineasta . folha",0
qnd vou p vsl kkkk,0
gripe achou pqp,1
rt vai tomar cu t surtando jogo,1
toda vez q video passa tl obrigada ver inteiro comeco rir sempre,0
"astro au binwoo moonbin mandado casa campo famlia interior , longe farras confuses . tudo tdio , exceto rapaz trabalhava famlia , dongmin , acabou chamando ateno . astro binwoo binu",0
"bglh andar faca , faz bglh des j passa faca pescoo",1
abandonei moon lover drama ruim caralho,1
pode chamar irmo viado ja quer bater kkkkkk,1
rt gay htero bi feio,0
s vdds jesus,0
sport bara oferta oficial philippe coutinho mesa . jogador est ciente disso . coutinho gostaria regressar premier league .,0
dormi demais pqp,1
zoia preo lanche pqp,0
prove inteligncia diga onde socialismo comunismo deram certo ? ...,0
cone caralho,1
"fraca solar , caralho ploooooocccccc",0
kkkkkkkk passou feia,1
rt possvel cada dia fico feia,0
"rt bota lona , agita porra kkkkkkkkkkkkkkkkkk vocs so demais",1
mano ingls horrio agora t puto,0
"aumentar efetivo susepe primordial diante beira caos segurana pblica ! bm invs cuidando segurana populao , fazendo custdia presos viaturas !",0
comam lixo bebam lcool crianas oq mata amor,0
vai poder refinanciar contratos veculos ? contratos inadimplncia ? poder refinanciar ter crdito novamente ?,0
"curly lambeau d nome estdio franquia green bay packer ! episdio histrico dessa semana , viemos contar pouco sobre ! aperta play vem gente ! spotify packer gopackgo",0
vcs porra ?,1
vox conseguem tomar skol pqp fraca demais,0
"caralho , vamo pra tquio porra voleinaglobo",1
degolar stfvergonhanacional,0
rt embalados emocionadas lixo !,1
vc deve dor cotovelo tremenda hein babaca kkkkk brasil acima tudo deus acima todos bolsonaro2022,1
kkkkkk melhor post q ja vi vida,0
voz dentro mim ta gritando vai idiota outra voz diz calma fia afoba,0
t fazendo diagnose p entrar,0
t quase falando pro amigo esquecer corre enfiar parte cu,1
n sabia q podium fcr tao triste c bagulho tao idiota crl to mt puta mt triste c,1
"rt pior padaria , po t quentinho filum anda . voc fica esperando enquanto po esfria .",0
prioridades n kkkkkk,0
porra t passando mal p crlh saco,1
hj ta sendo puta teste pacincia,0
rindo demais joyce contando quase mandou osrio tomar cu kkkkkkk lembrei logo jozi camila,1
"deus , blogueira queria fazer parcerias s duas empresas farfetch drogarias so paulo . surra bolsas dermocosmticos .",0
carregado bebida fumo logo,0
digo s tomo cu kkkkkkkkkk,1
menos comeu . at agora nada nada,0
"rt ramos crianas , chorvamos bem alto chamar ateno . hoje , choramos bem baixinho ter explicar",0
dodge enquadra supremo.e coloca mordaa supremo .,0
aposto coisa carioca paulista pq porra s gente pra fazer merdas,1
curtir voc manda ppp dm ? ! ningum vai curtir ok,0
razo ! prxima pego print apago arroba .,0
kkkkkkkkkk vtnc q diabeisso,1
"nao sei oq disse balada mina p mim , falei assim mina melhor vc vc vai respeitar , agora abaixa mo pra falar comigo , vc vai falar comigo assim mo abaixada ok ? kkkkk ficou pianinho pqp auge",0
maior contratao futebol brasileiro ?,0
falta buceta,1
mt escroto kk,1
cpi tudo quanto rgo pblico deu prejuzo nesse pa ! algum ganhou ! povo !,0
"conhecemos verdade jesusverdadeiramente . h situaes , pessoas , engano . nada pode separar amor encontrei jesus . conhecero verdade , verdade libertar . joo , 8,32 vez liberto volto pra escravido .",0
rt imagina porra toda cara ? comentem proximo vdeo vocs querem faa rtrtrt,1
unica diferena lugar beijinho saaaai daqui gabriel caralho pra faze nada vazaaa ve to faca mo pensa posso cortaaa,0
ai pqp professor vai lecionar semestre intimida,1
porra pega megaaaaa resenha lari,0
enchi cu suco maracuj agr vou dormir,1
"j assim , formato suo pau kkkkkkkk",0
to to triste algum poderia levar pra show jack amp jack ?,0
"porra , vai ter calourada ?",0
aflio porra,0
voc linda demais mano inferno,0
amei kkkkkkkk,0
tabaco porra,1
sim fdp,1
sabe pior disso tudo pode contar pro amigo pq vai ficar lado pensar vil,0
pessoal bancada fox vcs fato so mto . doi mesmos ... opinio ... tambm descansados alguns confronto bahia ... forte abrao todos ... ob benja ... vc mto doido ... tamo junto !,0
blz piada boa,0
vc sugere agora ? arma voto j era . impeachment s beneficiar congresso j era . brasileiro est satisfeito sabe fazer . engolidos at outra eleio .,0
"olha at vou , porm chamar pra encher cu lcool bar casa algum , primeira chegar",1
"arrependida postar , pq agora t vontade , dinheiro fico vendo foto",0
grande china .... elefante buraco agulha foda n milito .... abraos ...,1
"caralho , neurticooooo ! ! ! ! ! algum presenteia kkkk",0
rt claro sim ! paulinha fab,0
"odeio gente desse tipo cr , n consigo olhar cr",1
"porra , toda vez vou encaminhar algo mensagem direta aqui tt pra pessoa esqueo cria grupo",0
"mano , pessoa consegue matar criana 6 ano ? caralho , merece muita maderada pqp",0
"pessoa manda audio 10 minutos mando fuder , euem",1
"caralho , fico felizao ver futebol brasileiro evoluindo contrataes",0
eta filho puta lindo,0
falei djonga dei salve lo gordo bicho brabo demais !,0
miat abrindo show ... pica !,0
continuo achando mximo look caralho verdade compromisso hoje .,1
caralho to choranfo,1
"anac mete pau meninas also anac ai olha ltima vez falei , faz sculos ana caroline hoje",0
base foda ainda debochada kkkkkk,0
bem louca pra levar filho nisso ... n levaria nunca,0
rt apagar uma fotos galeria whatsapp achei foto trouxe uma lembranas porra,0
